grupo_edad|sexo|escolaridad|estado_origen|estado_destino|n_muestra_sin_pond|p_kappa1|p_kappa5|p_kappa20|delta_1_vs_5|delta_20_vs_5
25-29|mujer|basica-|fuera_PEA|informal|12360|0.17113498714743897|0.17114520139583286|0.17118344604175278|1.0214248393897174e-05|3.8244645919921494e-05
25-29|mujer|basica-|fuera_PEA|desempleado|12360|0.010633581422403733|0.010639257362161654|0.010660509469799287|5.6759397579209114e-06|2.1252107637632564e-05
25-29|mujer|basica-|fuera_PEA|fuera_PEA|12360|0.7881147439126388|0.7880868134304632|0.7879822348692237|2.793048217564209e-05|0.00010457856123946563
25-29|mujer|media_sup|formal_IMSS|formal_IMSS|4371|0.7374050009785575|0.7374208458513066|0.737480007019314|1.5844872749082306e-05|5.9161168007415554e-05
25-29|mujer|media_sup|formal_IMSS|formal_ISSSTE|4371|0.005150337444026313|0.0051553625963421034|0.005174125377534858|5.025152315790704e-06|1.8762781192754874e-05
25-29|mujer|media_sup|formal_IMSS|informal|4371|0.10781613749102961|0.10784727582596633|0.10796353931976897|3.113833493671725e-05|0.000116263493802643
25-29|mujer|media_sup|formal_IMSS|desempleado|4371|0.026871914512778903|0.026876833741613277|0.026895201028504557|4.919228834374123e-06|1.8367286891279866e-05
25-29|mujer|media_sup|formal_IMSS|fuera_PEA|4371|0.12275660957360762|0.12269968198477167|0.12248712725487751|5.6927588835950504e-05|0.00021255472989416269
25-29|mujer|media_sup|formal_ISSSTE|formal_IMSS|235|0.07331570296380367|0.07354607416521328|0.07434559774657602|0.00023037120140960432|0.000799523581362746
25-29|mujer|media_sup|formal_ISSSTE|formal_ISSSTE|235|0.7846835400010572|0.7838969126311297|0.7811668529354993|0.0007866273699275173|0.002730059695630449
25-29|mujer|media_sup|formal_ISSSTE|informal|235|0.054659047980844574|0.05538873581225592|0.057921181815389376|0.0007296878314113422|0.0025324460031334595
25-29|mujer|media_sup|formal_ISSSTE|desempleado|235|0.017617329996948764|0.017741256313060335|0.018171353527800495|0.00012392631611157084|0.0004300972147401605
25-29|mujer|media_sup|formal_ISSSTE|fuera_PEA|235|0.0697243790573458|0.06942702107834073|0.06839501397473494|0.00029735797900506955|0.001032007103605792
25-29|mujer|media_sup|informal|formal_IMSS|4820|0.0947103493170247|0.09473125353140117|0.09480933660281826|2.0904214376477048e-05|7.808307141708715e-05
25-29|mujer|media_sup|informal|formal_ISSSTE|4820|0.00493062898365407|0.004936190512513423|0.004956964374055993|5.561528859353293e-06|2.0773861542569896e-05
25-29|mujer|media_sup|informal|informal|4820|0.5988526896148074|0.5989429103088885|0.5992799097661443|9.02206940810446e-05|0.0003369994572558488
25-29|mujer|media_sup|informal|desempleado|4820|0.02078028608962438|0.020782674301926728|0.020791594941009586|2.3882123023483137e-06|8.920639082858617e-06
25-29|mujer|media_sup|informal|fuera_PEA|4820|0.2807260459948895|0.28060697134527024|0.28016219431597195|0.00011907464961924408|0.0004447770292982933
25-29|mujer|media_sup|desempleado|formal_IMSS|423|0.28816862722756365|0.28803059727515185|0.2875351850306039|0.00013802995241180005|0.0004954122445479658
25-29|mujer|media_sup|desempleado|formal_ISSSTE|423|0.0030385465768725467|0.003267792744612001|0.004090595017085438|0.00022924616773945406|0.0008228022724734371
25-29|mujer|media_sup|desempleado|informal|423|0.2272197039582514|0.22829314713264895|0.232145911573489|0.0010734431743975592|0.0038527644408400397
25-29|mujer|media_sup|desempleado|desempleado|423|0.06949418084747053|0.0699526457059691|0.07159815163150568|0.00045846485849856955|0.0016455059255365834
25-29|mujer|media_sup|desempleado|fuera_PEA|423|0.4120789413898419|0.41045581714161805|0.40463015674731606|0.0016231242482238617|0.00582566039430199
25-29|mujer|media_sup|fuera_PEA|formal_IMSS|7129|0.05295438097022741|0.05295875742786519|0.052975125526353105|4.376457637782216e-06|1.6368098487914984e-05
25-29|mujer|media_sup|fuera_PEA|formal_ISSSTE|7129|0.004490548594515641|0.004491718151373866|0.0044960923332869746|1.1695568582249793e-06|4.374181913108406e-06
25-29|mujer|media_sup|fuera_PEA|informal|7129|0.1937618806036074|0.19376689764980395|0.19378566157100677|5.0170461965426405e-06|1.876392120281345e-05
25-29|mujer|media_sup|fuera_PEA|desempleado|7129|0.017378949961912735|0.017385005683940868|0.017407654287623506|6.055722028133065e-06|2.2648603682638713e-05
25-29|mujer|media_sup|fuera_PEA|fuera_PEA|7129|0.7314142398697369|0.7313976210870162|0.7313354662817297|1.661878272063433e-05|6.215480528648509e-05
25-29|mujer|superior|formal_IMSS|formal_IMSS|7968|0.7394006516530192|0.739408346944685|0.7394371356492819|7.695291665887893e-06|2.8788704596882653e-05
25-29|mujer|superior|formal_IMSS|formal_ISSSTE|7968|0.025673647457652948|0.025666109119070156|0.025637907588571467|7.538338582791654e-06|2.820153049868865e-05
