grupo_edad|sexo|escolaridad|estado_origen|estado_destino|n_muestra_sin_pond|p_kappa1|p_kappa5|p_kappa20|delta_1_vs_5|delta_20_vs_5
30-34|mujer|basica-|informal|desempleado|1333|0.012654658830341375|0.012667018482475957|0.01271271630938154|1.2359652134582427e-05|4.5697826905582994e-05
30-34|mujer|basica-|informal|fuera_PEA|1333|0.2478609749165041|0.24744474028055546|0.24590577962546822|0.0004162346359486424|0.0015389606550872403
30-34|mujer|basica-|desempleado|formal_IMSS|54|0.19622072354306797|0.19606219406976735|0.19562034672019638|0.0001585294733006115|0.0004418473495709785
30-34|mujer|basica-|desempleado|informal|54|0.22914049261508962|0.24164258636794764|0.2764879490237175|0.012502093752858018|0.034845362655769846
30-34|mujer|basica-|desempleado|desempleado|54|0.06257169322739496|0.06973313670939504|0.08969324100888851|0.007161443482000082|0.019960104299493464
30-34|mujer|basica-|desempleado|fuera_PEA|54|0.5120670906144474|0.49256208285288994|0.4381984632471976|0.019505007761557502|0.05436361960569236
30-34|mujer|basica-|fuera_PEA|formal_IMSS|1851|0.020022903304205097|0.020058582051374216|0.02019101866232532|3.5678747169119035e-05|0.00013243661095110534
30-34|mujer|basica-|fuera_PEA|informal|1851|0.15447072789071806|0.15453740068943664|0.15478488470178325|6.667279871858112e-05|0.000247484012346616
30-34|mujer|basica-|fuera_PEA|desempleado|1851|0.009954813670784803|0.009969115505654503|0.01002220275481007|1.43018348697007e-05|5.3087249155566243e-05
30-34|mujer|basica-|fuera_PEA|fuera_PEA|1851|0.815551555134292|0.8154349017535346|0.8150018938810812|0.00011665338075739218|0.0004330078724533726
30-34|mujer|media_sup|formal_IMSS|formal_IMSS|809|0.8408711524646628|0.8408044027590978|0.8405598282951006|6.67497055649724e-05|0.00024457446399728244
30-34|mujer|media_sup|formal_IMSS|informal|809|0.07702051349811634|0.07724164284415172|0.07805187250468545|0.00022112934603538137|0.0008102296605337345
30-34|mujer|media_sup|formal_IMSS|desempleado|809|0.008295707552022778|0.008330171490339435|0.008456449189539493|3.4463938316657214e-05|0.00012627769920005825
30-34|mujer|media_sup|formal_IMSS|fuera_PEA|809|0.0738126264851982|0.07362378290641115|0.07293185001067455|0.00018884357878704017|0.0006919328957366022
30-34|mujer|media_sup|informal|formal_IMSS|1094|0.07909133325680473|0.07909233272944267|0.07909601682685698|9.994726379441987e-07|3.684097414302645e-06
30-34|mujer|media_sup|informal|informal|1094|0.6985012372353424|0.6988532422316646|0.7001507471833237|0.00035200499632215276|0.0012975049516591453
30-34|mujer|media_sup|informal|desempleado|1094|0.0105640552875139|0.010586711910559744|0.010670225158658484|2.2656623045843455e-05|8.35132480987398e-05
30-34|mujer|media_sup|informal|fuera_PEA|1094|0.211843374220339|0.21146771312833298|0.21008301083116088|0.0003756610920060133|0.001384702297172108
30-34|mujer|media_sup|desempleado|formal_IMSS|55|0.11728841820821137|0.12239468458178955|0.13669223042780843|0.0051062663735781805|0.014297545846018875
30-34|mujer|media_sup|desempleado|informal|55|0.6269735012935616|0.6127450262386405|0.5729052960848615|0.014228475054921086|0.03983973015377895
30-34|mujer|media_sup|desempleado|desempleado|55|0.03917359510526269|0.04777555440403826|0.07186104044060984|0.008601959298775566|0.024085486036571582
30-34|mujer|media_sup|desempleado|fuera_PEA|55|0.21656448539296444|0.21708473477553175|0.21854143304672027|0.0005202493825673116|0.0014566982711885224
30-34|mujer|media_sup|fuera_PEA|formal_IMSS|1165|0.026668886016056808|0.02670276278861961|0.02682776379117728|3.387677256280058e-05|0.0001250010025576724
30-34|mujer|media_sup|fuera_PEA|informal|1165|0.18628628974860942|0.18628328331013944|0.18627218993274705|3.0064384699823865e-06|1.1093377392384918e-05
30-34|mujer|media_sup|fuera_PEA|desempleado|1165|0.009235828606655689|0.009260974030394732|0.009353757461026766|2.514542373904284e-05|9.27834306320343e-05
30-34|mujer|media_sup|fuera_PEA|fuera_PEA|1165|0.7778089956286781|0.7777529798708462|0.777546288815049|5.601575783187318e-05|0.0002066910557972923
30-34|mujer|superior|formal_IMSS|formal_IMSS|1510|0.8412077621682569|0.8411710092315279|0.8410348972526128|3.675293672900093e-05|0.00013611197891505444
30-34|mujer|superior|formal_IMSS|informal|1510|0.09575740550928134|0.09582674657834282|0.09608354646891118|6.93410690614793e-05|0.00025679989056835717
30-34|mujer|superior|formal_IMSS|desempleado|1510|0.016463210795830432|0.016460163688777316|0.016448878936921287|3.04710705311545e-06|1.1284751856029118e-05
30-34|mujer|superior|formal_IMSS|fuera_PEA|1510|0.04657162152663145|0.04654208050135199|0.046432677341554755|2.9541025279460065e-05|0.00010940315979723197
30-34|mujer|superior|informal|formal_IMSS|1455|0.09552500704751421|0.0954807356264637|0.09531685633226994|4.4271421050512405e-05|0.00016387929419375835
30-34|mujer|superior|informal|informal|1455|0.7890857993339452|0.7891025905959752|0.7891647467252522|1.679126203002479e-05|6.21561292769579e-05
30-34|mujer|superior|informal|desempleado|1455|0.01604652372205228|0.016048557800812026|0.016056087339814205|2.0340787597467047e-06|7.52953900217887e-06
30-34|mujer|superior|informal|fuera_PEA|1455|0.0993426698964882|0.09936811597674902|0.09946230960266361|2.5446080260824178e-05|9.419362591459035e-05
30-34|mujer|superior|desempleado|formal_IMSS|90|0.10234977521486985|0.10620378105053359|0.11815995824526317|0.0038540058356637402|0.011956177194729578
30-34|mujer|superior|desempleado|informal|90|0.3673670159526329|0.36931141003756396|0.375343450778316|0.0019443940849310781|0.0060320407407520316
