grupo_edad|sexo|escolaridad|estado_origen|estado_destino|probabilidad|n_muestra_pond|n_muestra_sin_pond|baja_confianza
30-34|mujer|basica-|fuera_PEA|formal_IMSS|0.020058582051374216|690568.0|1851|False
30-34|mujer|basica-|fuera_PEA|informal|0.15453740068943664|690568.0|1851|False
30-34|mujer|basica-|fuera_PEA|desempleado|0.009969115505654503|690568.0|1851|False
30-34|mujer|basica-|fuera_PEA|fuera_PEA|0.8154349017535346|690568.0|1851|False
30-34|mujer|media_sup|formal_IMSS|formal_IMSS|0.8408044027590978|217086.0|809|False
30-34|mujer|media_sup|formal_IMSS|informal|0.07724164284415172|217086.0|809|False
30-34|mujer|media_sup|formal_IMSS|desempleado|0.008330171490339435|217086.0|809|False
30-34|mujer|media_sup|formal_IMSS|fuera_PEA|0.07362378290641115|217086.0|809|False
30-34|mujer|media_sup|informal|formal_IMSS|0.07909233272944267|351759.0|1094|False
30-34|mujer|media_sup|informal|informal|0.6988532422316646|351759.0|1094|False
30-34|mujer|media_sup|informal|desempleado|0.010586711910559744|351759.0|1094|False
30-34|mujer|media_sup|informal|fuera_PEA|0.21146771312833298|351759.0|1094|False
30-34|mujer|media_sup|desempleado|formal_IMSS|0.12239468458178955|20691.0|55|False
30-34|mujer|media_sup|desempleado|informal|0.6127450262386405|20691.0|55|False
30-34|mujer|media_sup|desempleado|desempleado|0.04777555440403826|20691.0|55|False
30-34|mujer|media_sup|desempleado|fuera_PEA|0.21708473477553175|20691.0|55|False
30-34|mujer|media_sup|fuera_PEA|formal_IMSS|0.02670276278861961|375426.0|1165|False
30-34|mujer|media_sup|fuera_PEA|informal|0.18628328331013944|375426.0|1165|False
30-34|mujer|media_sup|fuera_PEA|desempleado|0.009260974030394732|375426.0|1165|False
30-34|mujer|media_sup|fuera_PEA|fuera_PEA|0.7777529798708462|375426.0|1165|False
30-34|mujer|superior|formal_IMSS|formal_IMSS|0.8411710092315279|433006.0|1510|False
30-34|mujer|superior|formal_IMSS|informal|0.09582674657834282|433006.0|1510|False
30-34|mujer|superior|formal_IMSS|desempleado|0.016460163688777316|433006.0|1510|False
30-34|mujer|superior|formal_IMSS|fuera_PEA|0.04654208050135199|433006.0|1510|False
30-34|mujer|superior|informal|formal_IMSS|0.0954807356264637|398666.0|1455|False
30-34|mujer|superior|informal|informal|0.7891025905959752|398666.0|1455|False
30-34|mujer|superior|informal|desempleado|0.016048557800812026|398666.0|1455|False
30-34|mujer|superior|informal|fuera_PEA|0.09936811597674902|398666.0|1455|False
30-34|mujer|superior|desempleado|formal_IMSS|0.10620378105053359|27237.0|90|False
30-34|mujer|superior|desempleado|informal|0.36931141003756396|27237.0|90|False
30-34|mujer|superior|desempleado|desempleado|0.12568689397200267|27237.0|90|False
30-34|mujer|superior|desempleado|fuera_PEA|0.3987979149398998|27237.0|90|False
30-34|mujer|superior|fuera_PEA|formal_IMSS|0.07080914423520024|203284.0|701|False
30-34|mujer|superior|fuera_PEA|informal|0.17844051167019417|203284.0|701|False
30-34|mujer|superior|fuera_PEA|desempleado|0.028525097272853763|203284.0|701|False
30-34|mujer|superior|fuera_PEA|fuera_PEA|0.7222252468217518|203284.0|701|False
35-39|hombre|basica-|formal_IMSS|formal_IMSS|0.8077967058213605|338689.0|1170|False
35-39|hombre|basica-|formal_IMSS|informal|0.16314404427670542|338689.0|1170|False
35-39|hombre|basica-|formal_IMSS|desempleado|0.01104673556464416|338689.0|1170|False
35-39|hombre|basica-|formal_IMSS|fuera_PEA|0.018012514337289807|338689.0|1170|False
35-39|hombre|basica-|informal|formal_IMSS|0.06663627504242155|824601.0|2276|False
35-39|hombre|basica-|informal|informal|0.8893952139622531|824601.0|2276|False
35-39|hombre|basica-|informal|desempleado|0.009351467597964522|824601.0|2276|False
35-39|hombre|basica-|informal|fuera_PEA|0.03461704339736087|824601.0|2276|False
35-39|hombre|basica-|desempleado|formal_IMSS|0.17867219696527134|16182.0|55|False
35-39|hombre|basica-|desempleado|informal|0.6022728145904531|16182.0|55|False
35-39|hombre|basica-|desempleado|desempleado|0.1006238949927563|16182.0|55|False
35-39|hombre|basica-|desempleado|fuera_PEA|0.11843109345151914|16182.0|55|False
35-39|hombre|basica-|fuera_PEA|formal_IMSS|0.025988718387202406|87556.0|227|False
35-39|hombre|basica-|fuera_PEA|informal|0.3330982821301843|87556.0|227|False
35-39|hombre|basica-|fuera_PEA|desempleado|0.06507845560779656|87556.0|227|False
35-39|hombre|basica-|fuera_PEA|fuera_PEA|0.5758345438748169|87556.0|227|False
35-39|hombre|media_sup|formal_IMSS|formal_IMSS|0.8233625391033009|333183.0|1138|False
35-39|hombre|media_sup|formal_IMSS|informal|0.154480427462145|333183.0|1138|False
35-39|hombre|media_sup|formal_IMSS|desempleado|0.008882644860845923|333183.0|1138|False
35-39|hombre|media_sup|formal_IMSS|fuera_PEA|0.013274388573708057|333183.0|1138|False
35-39|hombre|media_sup|informal|formal_IMSS|0.10532732862643748|394694.0|1129|False
35-39|hombre|media_sup|informal|informal|0.8498632030971538|394694.0|1129|False
35-39|hombre|media_sup|informal|desempleado|0.015536945694042887|394694.0|1129|False
35-39|hombre|media_sup|informal|fuera_PEA|0.02927252258236578|394694.0|1129|False
35-39|hombre|media_sup|desempleado|formal_IMSS|0.21441524419739363|11567.0|39|False
35-39|hombre|media_sup|desempleado|informal|0.18820358561264455|11567.0|39|False
35-39|hombre|media_sup|desempleado|desempleado|0.444312849504043|11567.0|39|False
35-39|hombre|media_sup|desempleado|fuera_PEA|0.15306832068591888|11567.0|39|False
35-39|hombre|media_sup|fuera_PEA|formal_IMSS|0.11509411376924028|27818.0|90|False
35-39|hombre|media_sup|fuera_PEA|informal|0.3246792281834502|27818.0|90|False
35-39|hombre|media_sup|fuera_PEA|desempleado|0.0915783849691476|27818.0|90|False
35-39|hombre|media_sup|fuera_PEA|fuera_PEA|0.468648273078162|27818.0|90|False
35-39|hombre|superior|formal_IMSS|formal_IMSS|0.8614815679894732|375227.0|1323|False
35-39|hombre|superior|formal_IMSS|informal|0.11038342608533531|375227.0|1323|False
35-39|hombre|superior|formal_IMSS|desempleado|0.007152955484809633|375227.0|1323|False
